num_apps	probability
0	0.0374230629431259
1	0.030519097050719514
2	0.0038642210020684653
3	0.010957773850849471
4	0.0327034350857845
5	0.030537496474949306
6	0.0232555170313238
7	0.031042206946073316
8	0.024204174882566973
9	0.032287715030905675
10	0.021898355739695667
11	0.03147696686297522
12	0.03655131275681469
13	0.04923329986363219
14	0.042780983965715114
15	0.051765092602733674
16	0.07786428242176865
17	0.030838759350157736
18	0.03305525696016291
19	0.040618741592164526
20	0.0363505627304388
21	0.03425162546979508
22	0.03241759215119558
23	0.03019715580090668
24	0.031824098322291404
25	0.02519109719227592
26	0.0278160844495662
27	0.027266706727651895
28	0.02849332108472541
29	0.01994950161318656
30	0.017957467657141006
31	0.015407034386637873
