num_apps	probability
0	0.15625099594763756
1	0.01161516512426875
2	0.0021973055216811684
3	0.003278133081711201
4	0.008434469836069778
5	0.009145693780832803
6	0.009644959812691315
7	0.012392708528653642
8	0.01644297639407245
9	0.020712853345910345
10	0.01857825440938853
11	0.024778960278910335
12	0.03068132685796746
13	0.03544987241579127
14	0.037542814495369094
15	0.04190145115068247
16	0.04009088774565857
17	0.03398877934367566
18	0.038212689300886685
19	0.04296842586298446
20	0.045823902346484736
21	0.04801287995215496
22	0.04905384137512809
23	0.04901236797871614
24	0.045964720308145295
25	0.04245956221676178
26	0.039357033583069086
27	0.033269795107549585
28	0.025026083654987354
29	0.01637311045830465
30	0.008756023716879186
31	0.0025819560669741153
