term_size	probability
1	0.0014254559644283624
2	0.0007134618079286696
3	0.0
4	0.0012347618289491147
5	0.005728176862185451
6	0.001601597050881926
7	0.0002926489460135861
8	0.0018114881147738417
9	0.0010633547868631103
10	0.001373886934232829
11	0.005221665823075864
12	0.008765437310625623
13	0.0027208508006574946
14	0.0016492240900765984
15	0.0050325343932225205
16	0.005958314898211856
17	0.0089462291474471
18	0.004828487688293049
19	0.006167206758460948
20	0.008922109830326444
21	0.008727589544111125
22	0.007716268808211375
23	0.010878604958970844
24	0.014443040297313713
25	0.009854476879652248
26	0.008751458966231562
27	0.014630270259241906
28	0.01821889411319176
29	0.01649858305653038
30	0.013429816984953668
31	0.01874472644809093
32	0.031808737520391844
33	0.035864029249801824
34	0.0234320372128053
35	0.0185289483860813
36	0.021093332851988625
37	0.018632711343833052
38	0.02180111106086807
39	0.030796361146485467
40	0.03069870314381422
41	0.021550806085192213
42	0.018765332806807266
43	0.024693481713235307
44	0.030683268472547376
45	0.028521355244288903
46	0.021215584905768615
47	0.023314623446553245
48	0.03077261549029147
49	0.025490990888477432
50	0.018101326083509204
51	0.022702034231209395
52	0.02801634024135002
53	0.02133159620676737
54	0.01697942855245569
55	0.026651456565808116
56	0.03583703363446332
57	0.030156283231039565
58	0.02084036031037083
59	0.02672803040150275
60	0.03756042292634532
61	0.030889741732564268
62	0.0111912915602285
