num_apps	probability
0	0.036335977136444535
1	0.029979894292698657
2	0.0075208588955392045
3	0.010079241603732428
4	0.03760556700757148
5	0.03686716583124098
6	0.020087238184503885
7	0.02613645391571009
8	0.021315158148440136
9	0.024963445534414857
10	0.02052223062807702
11	0.030556173346950155
12	0.03576338250200634
13	0.05372142547794113
14	0.04696077248596204
15	0.05039696117007421
16	0.08070506070805279
17	0.033468785620248506
18	0.03426043554799429
19	0.041827364362390804
20	0.03824042158936553
21	0.0314248532151073
22	0.030717698401825335
23	0.02906309840792038
24	0.02806238149700646
25	0.025854837339987422
26	0.028049726384803728
27	0.027437787938372517
28	0.03044129700292643
29	0.020490206133851958
30	0.0160303524385207
31	0.01511374725032138
