1,0,48,1166
1,1,72,1211
1,2,72,626
1,3,72,512
1,4,128,930
2,0,56,2512
2,1,88,2679
2,2,104,1518
2,3,136,1360
2,4,136,1120
2,5,240,2053
3,0,64,5258
3,1,104,5691
3,2,136,3402
3,3,200,3208
3,4,264,3024
3,5,264,2544
3,6,456,4563
4,0,72,10804
4,1,120,11791
4,2,168,7270
4,3,264,7056
4,4,392,7136
4,5,520,6768
4,6,520,5808
4,7,888,10249
5,0,80,21950
5,1,136,24067
5,2,200,15106
5,3,328,14904
5,4,520,15664
5,5,776,15824
5,6,1032,15088
5,7,1032,13168
5,8,1744,22864
6,0,88,44296
6,1,152,48695
6,2,232,30878
6,3,392,30752
6,4,648,33024
6,5,1032,34544
6,6,1544,34864
6,7,2056,33392
6,8,2056,29552
6,9,3440,50530
