1.0,0.0038653295,0.005750854,0.006498855,0.00423154
2.0,0.004582178,0.0074816515,0.005179245,0.005243091
3.0,0.0053679075,0.009595516,0.006911193,0.00691783
4.0,0.0060433085,0.012086345,0.009525716,0.009499946
5.0,0.0070728975,0.015059214,0.0144145135,0.01443471
6.0,0.007819762,0.0181386485,0.0239385265,0.024110206
7.0,0.0085822725,0.021840967,0.0424850575,0.042875214
8.0,0.009619043,0.025970433,0.082793878,0.084210363
9.0,0.010390392,0.030220989,0.1744870685,0.174589432
10.0,0.011413536,0.0353194685,0.381229367,0.3847082985
11.0,0.012292151,0.040393109,0.803475387,0.827888773
12.0,0.013259711,0.046389463,1.816473829,1.835809989
13.0,0.013986879,0.052411922,3.9864072435,4.052548869
14.0,0.014925607,0.058809298,8.849968149,8.878385047
15.0,0.015745371,0.066481257,20.332458587,21.260852543
