num_apps	probability
0	0.044396867518961804
1	0.019706175102634314
2	0.0034615198910064697
3	0.015634862599800806
4	0.03432555399232568
5	0.03347707662754573
6	0.02339537241984795
7	0.03125887248870528
8	0.026647205797130445
9	0.028235823303086924
10	0.02144336355264033
11	0.032407304336700214
12	0.038846340434491124
13	0.044253837154640305
14	0.043618386070626174
15	0.051866640812403275
16	0.07248001626920983
17	0.02917985565407274
18	0.033423061097592466
19	0.03943566727944852
20	0.03720149910334155
21	0.03347101117293003
22	0.03351102035223813
23	0.03204032447882398
24	0.03105695573766139
25	0.024286237586000577
26	0.027742921467589953
27	0.02834012498194265
28	0.027496273061336247
29	0.021728402603092337
30	0.019490645037239664
31	0.016140782014931326
