num_apps	probability
0	0.0033595993117641804
1	0.003092569223753269
2	0.0007887380936211951
3	0.0026062362818360346
4	0.009181709821947624
5	0.006915889019802292
6	0.009619967611901878
7	0.011483146995702527
8	0.008944353172085098
9	0.01454702231355334
10	0.012454861563024075
11	0.017880337027966185
12	0.022207621642827215
13	0.02597790520740819
14	0.027787888836461876
15	0.04003334385684992
16	0.05923604298493136
17	0.030310456516387793
18	0.03631923189984355
19	0.04954702183421073
20	0.0454480473608506
21	0.05131456991715948
22	0.04939345290090726
23	0.04578625542975701
24	0.05121366753062039
25	0.041550032969249355
26	0.05293398236458171
27	0.053683634963197314
28	0.05742814056356946
29	0.05046125934629531
30	0.05853721005799121
31	0.04995580337993753
